182,"['929', 'Division I', 'Metro East', 'Hudson Valley DI']"
183,"['927', 'Division III', 'Ohio Valley', 'Ohio DIII']"
184,"['924', 'Division I', 'Southeast', 'Gulf Coast DI']"
185,"['921', 'Division I', 'South Central', 'Rocky Mountain DI']"
186,"['918', 'Division I', 'Northwest', 'Big Sky DI']"
187,"['917', 'Division I', 'Southwest', 'SoCal DI']"
188,"['917', 'Division I', 'South Central', 'Rocky Mountain DI']"
189,"['913', 'Division I', 'Southwest', 'SoCal DI']"
191,"['899', 'Division III', 'New England', 'South New England DIII']"
192,"['896', 'Division I', 'Southwest', 'SoCal DI']"
193,"['896', 'Division III', 'Southeast', 'Eastern Southeast DIII']"
194,"['892', 'Division III', 'South Central', 'Texas DIII']"
195,"['885', 'Division I', 'Northwest', 'Big Sky DI']"
196,"['882', 'Division III', 'Southeast', 'Eastern Southeast DIII']"
197,"['879', 'Division I', 'Metro East', 'Metro NY DI']"
198,"['872', 'Division I', 'Southeast', 'Southern Appalachian DI']"
199,"['872', 'Division I', 'North Central', 'Lake Superior DI']"
200,"['861', 'Developmental', 'Southwest', 'Southwest Dev']"
201,"['855', 'Division I', 'Atlantic Coast', 'Virginia DI']"
202,"['853', 'Developmental', 'Southwest', 'Southwest Dev']"
203,"['850', 'Division III', 'South Central', 'Rocky Mountain DIII']"
204,"['850', 'Division I', 'Southeast', 'Southern Appalachian DI']"
205,"['843', 'Division III', 'New England', 'North New England DIII']"
206,"['843', 'Division I', 'Atlantic Coast', 'Colonial DI']"
207,"['841', 'Division I', 'South Central', 'Ozarks DI']"
208,"['835', 'Developmental', 'North Central', 'North Central Dev']"
209,"['832', 'Division I', 'South Central', 'Ozarks DI']"
210,"['826', 'Developmental', 'Ohio Valley', 'Ohio Dev']"
211,"['826', 'Division I', 'Ohio Valley', 'East Penn DI']"
212,"['821', 'Developmental', 'Ohio Valley', 'Ohio Valley Dev']"
214,"['812', 'Division III', 'Southeast', 'Western Southeast DIII']"
215,"['812', 'Developmental', 'Southeast', 'Southeast Dev']"
216,"['803', 'Division III', 'Atlantic Coast', 'Northern Atlantic Coast DIII']"
217,"['802', 'Developmental', 'Southwest', 'Southwest Dev']"
219,"['782', 'Division III', 'Atlantic Coast', 'Carolina DIII']"
220,"['782', 'Developmental', 'Ohio Valley', 'Ohio Valley Dev']"
221,"['778', 'Division I', 'South Central', 'Ozarks DI']"
222,"['771', 'Division I', 'South Central', 'Ozarks DI']"
223,"['765', 'Division I', 'South Central', 'Rocky Mountain DI']"
224,"['760', 'Developmental', 'Ohio Valley', 'Ohio Valley Dev']"
225,"['758', 'Division I', 'Southeast', 'Gulf Coast DI']"
226,"['754', 'Division III', 'Southeast', 'Eastern Southeast DIII']"
227,"['750', 'Division I', 'Metro East', 'Western NY DI']"
228,"['747', 'Division I', 'Northwest', 'Big Sky DI']"
229,"['746', 'Division III', 'South Central', 'Texas DIII']"
230,"['745', 'Division III', 'South Central', 'Ozarks DIII']"
231,"['743', 'Developmental', 'Great Lakes', 'Great Lakes Dev']"
232,"['740', 'Division III', 'North Central', 'Northwoods DIII']"
233,"['739', 'Division I', 'South Central', 'South Texas DI']"
234,"['737', 'Division III', 'Metro East', 'Metro NY DIII']"
235,"['734', 'Division I', 'Ohio Valley', 'Ohio DI']"
236,"['730', 'Division I', 'New England', 'Greater New England DI']"
237,"['730', 'Division I', 'Southeast', 'Florida DI']"
238,"['726', 'Division III', 'Southeast', 'Western Southeast DIII']"
239,"['723', 'Division III', 'North Central', 'Northwoods DIII']"
240,"['709', 'Developmental', 'Great Lakes', 'Great Lakes Dev']"
241,"['707', 'Developmental', 'New England', 'Greater New England Dev']"
242,"['707', 'Developmental', 'South Central', 'South Texas DI']"
243,"['702', 'Division I', 'South Central', 'North Texas DI']"
244,"['701', 'Division I', 'Atlantic Coast', 'Carolina DI']"
245,"['701', 'Division I', 'New England', 'Greater New England DI']"
246,"['682', 'Division III', 'Metro East', 'Western NY DIII']"
247,"['680', 'Division III', 'Atlantic Coast', 'Northern Atlantic Coast DIII']"
248,"['676', 'Division I', 'Ohio Valley', 'Ohio DI']"
249,"['667', 'Division I', 'South Central', 'South Texas DI']"
250,"['664', 'Division I', 'South Central', 'North Texas DI']"
251,"['659', 'Division I', 'New England', 'Greater New England DI']"
252,"['649', 'Division I', 'Atlantic Coast', 'Colonial DI']"
253,"['647', 'Division III', 'Northwest', 'Northwest DIII']"
254,"['637', 'Division I', 'Atlantic Coast', 'Carolina DI']"
255,"['636', 'Division I', 'Ohio Valley', 'East Penn DI']"
256,"['635', 'Division III', 'Southwest', 'Southwest DIII']"
257,"['634', 'Developmental', 'New England', 'Metro Boston Dev']"
258,"['629', 'Developmental', 'Atlantic Coast', 'Southern Atlantic Coast Dev']"
259,"['615', 'Division I', 'New England', 'Metro Boston DI']"
260,"['602', 'Developmental', 'Southeast', 'Southeast Dev']"
261,"['587', 'Division I', 'South Central', 'Ozarks DI']"
262,"['586', 'Developmental', 'Northwest', 'Cascadia DI']"
264,"['582', 'Developmental', 'New England', 'Metro Boston Dev']"
265,"['575', 'Division III', 'Atlantic Coast', 'Carolina DIII']"
266,"['565', 'Division I', 'Metro East', 'Metro NY DI']"
267,"['557', 'Division I', 'Metro East', 'Metro NY DI']"
268,"['553', 'Division I', 'North Central', 'West Plains DI']"
270,"['546', 'Developmental', 'Atlantic Coast', 'Colonial Dev']"
271,"['534', 'Division III', 'Ohio Valley', 'Ohio DIII']"
272,"['533', 'Division I', 'North Central', 'West Plains DI']"
273,"['527', 'Developmental', 'New England', 'Greater New England Dev']"
274,"['518', 'Division I', 'New England', 'Metro Boston DI']"
275,"['505', 'Division III', 'Ohio Valley', 'East Penn DIII']"
276,"['501', 'Developmental', 'North Central', 'North Central Dev']"
277,"['498', 'Division I', 'South Central', 'North Texas DI']"
278,"['487', 'Division III', 'Southeast', 'Eastern Southeast DIII']"
279,"['486', 'Division III', 'North Central', 'West Plains DIII']"
280,"['484', 'Division I', 'Southeast', 'Gulf Coast DI']"
281,"['479', 'Division I', 'South Central', 'Rocky Mountain DI']"
282,"['477', 'Division I', 'Southwest', 'SoCal DI']"
283,"['473', 'Division III', 'Great Lakes', 'Illinois DIII']"
284,"['473', 'Division I', 'Atlantic Coast', 'Colonial DI']"
285,"['473', 'Division I', 'South Central', 'South Texas DI']"
286,"['470', 'Division I', 'South Central', 'Rocky Mountain DI']"
287,"['468', 'Developmental', 'Southeast', 'Southeast Dev']"
288,"['467', 'Division III', 'Metro East', 'Metro NY DIII']"
289,"['465', 'Division I', 'Southwest', 'NorCal DI']"
290,"['456', 'Division III', 'Great Lakes', 'East Plains DIII']"
291,"['451', 'Division I', 'South Central', 'South Texas DI']"
292,"['446', 'Division III', 'Ohio Valley', 'West Penn DIII']"
293,"['445', 'Division I', 'Metro East', 'Metro NY DI']"
294,"['436', 'Division III', 'North Central', 'Northwoods DIII']"
295,"['431', 'Developmental', 'Atlantic Coast', 'Southern Atlantic Coast Dev']"
296,"['427', 'Division III', 'Ohio Valley', 'Ohio DIII']"
297,"['421', 'Division III', 'Great Lakes', 'Illinois DIII']"
298,"['412', 'Division I', 'Atlantic Coast', 'Carolina DI']"
299,"['405', 'Developmental', 'Southwest', 'Southwest Dev']"
300,"['399', 'Developmental', 'Southwest', 'NorCal DI']"
301,"['385', 'Division I', 'North Central', 'Lake Superior DI']"
303,"['380', 'Division I', 'Ohio Valley', 'West Penn DI']"
304,"['374', 'Division I', 'Ohio Valley', 'West Penn DI']"
305,"['371', 'Developmental', 'Ohio Valley', 'Ohio Dev']"
306,"['369', 'Developmental', 'Northwest', 'Cascadia DI']"
307,"['364', 'Division I', 'South Central', 'Ozarks DI']"
308,"['353', 'Division III', 'Southeast', 'Southeast DIII']"
309,"['337', 'Developmental', 'Atlantic Coast', 'Southern Atlantic Coast Dev']"
310,"['333', 'Division I', 'Southeast', 'Florida DI']"
311,"['329', 'Division I', 'Southwest', '']"
312,"['315', 'Division I', 'Southwest', 'NorCal DI']"
313,"['305', 'Division III', 'Metro East', 'Western NY DIII']"
314,"['284', 'Division I', 'Metro East', 'Hudson Valley DI']"
316,"['282', 'Division I', 'Atlantic Coast', 'Colonial DI']"
317,"['278', 'Division I', 'Metro East', 'Metro NY DI']"
318,"['268', 'Division III', 'South Central', 'Ozarks DIII']"
319,"['266', 'Division III', 'Ohio Valley', 'East Penn DIII']"
320,"['251', 'Developmental', 'Great Lakes', 'Great Lakes Dev']"
321,"['251', 'Developmental', 'Southwest', 'Southwest Dev']"
322,"['249', 'Developmental', 'Ohio Valley', 'Ohio Valley Dev']"
323,"['243', 'Division III', 'Southeast', 'Western Southeast DIII']"
324,"['240', 'Developmental', 'Metro East', 'Metro East Dev']"
325,"['233', 'Developmental', 'Southeast', 'Southeast Dev']"
327,"['215', 'Developmental', 'Atlantic Coast', 'Colonial Dev']"
328,"['212', 'Developmental', 'Southwest', 'Southwest Dev']"
329,"['205', 'Division III', 'Atlantic Coast', 'Carolina DIII']"
330,"['195', 'Division III', 'Ohio Valley', 'East Penn DIII']"
331,"['180', 'Division I', 'Northwest', 'Big Sky DI']"
332,"['160', 'Developmental', 'Northwest', 'Cascadia DI']"
333,"['156', 'Division III', 'Northwest', 'Northwest DIII']"
334,"['155', 'Division I', 'South Central', 'North Texas DI']"
335,"['150', 'Developmental', 'Atlantic Coast', 'Southern Atlantic Coast Dev']"
336,"['147', 'Division I', 'Ohio Valley', 'West Penn DI']"
337,"['133', 'Division I', 'North Central', 'West Plains DI']"
338,"['129', 'Developmental', 'Southwest', 'Southwest Dev']"
339,"['126', 'Developmental', 'Southwest', 'Southwest Dev']"
341,"['100', 'Division III', 'South Central', 'Texas DIII']"
342,"['86', 'Developmental', 'Southeast', 'Southeast Dev']"
343,"['75', 'Developmental', 'Metro East', 'Metro East Dev']"
344,"['66', 'Division I', 'South Central', 'Rocky Mountain DI']"
345,"['65', 'Division I', 'Northwest', 'Cascadia DI']"
346,"['53', 'Developmental', 'Southeast', 'Southeast Dev']"
347,"['50', 'Division I', 'Southeast', 'Florida DI']"
348,"['45', 'Developmental', 'Atlantic Coast', 'Colonial Dev']"
349,"['26', 'Division I', 'Great Lakes', 'Great Lakes Dev']"
350,"['22', 'Developmental', 'Southeast', 'Southeast Dev']"
351,"['-12', 'Developmental', 'Metro East', 'Metro East Dev']"
352,"['-14', 'Division III', 'South Central', 'Rocky Mountain DIII']"
353,"['-18', 'Developmental', 'Southeast', 'Southeast Dev']"
354,"['-19', 'Developmental', 'Metro East', 'Metro East Dev']"
355,"['-22', 'Developmental', 'North Central', 'North Central Dev']"
356,"['-28', 'Developmental', 'New England', 'Metro Boston Dev']"
357,"['-32', 'Division III', 'Northwest', 'Northwest DIII']"
358,"['-32', 'Division I', 'Atlantic Coast', 'Virginia DI']"
360,"['-73', 'Developmental', 'Atlantic Coast', 'Southern Atlantic Coast Dev']"
361,"['-88', 'Division III', 'Metro East', 'Western NY DIII']"
362,"['-95', 'Division I', 'Northwest', 'Cascadia DI']"
363,"['-141', 'Division III', 'Ohio Valley', 'West Penn DIII']"
364,"['-154', 'Division III', 'North Central', 'West Plains DIII']"
365,"['-164', 'Developmental', 'Metro East', 'Metro East Dev']"
366,"['-169', 'Division I', 'Ohio Valley', 'West Penn DI']"
367,"['-204', 'Division III', 'Northwest', 'Northwest DIII']"
368,"['-211', 'Developmental', 'North Central', 'Lake Superior Dev']"
369,"['-225', 'Division III', 'Ohio Valley', 'East Penn DIII']"
370,"['-245', 'Developmental', 'Atlantic Coast', 'Colonial Dev']"
371,"['-286', 'Division III', 'Ohio Valley', 'Ohio DIII']"
373,"['-305', 'Division III', 'Atlantic Coast', 'Northern Atlantic Coast DIII']"
374,"['-328', 'Developmental', 'Metro East', 'Metro East Dev']"
375,"['-331', 'Division III', 'South Central', '']"
376,"['-334', 'Developmental', 'Atlantic Coast', 'Colonial Dev']"
377,"['-338', 'Developmental', 'Ohio Valley', 'Ohio Valley Dev']"
379,"['-532', 'Developmental', 'Metro East', 'Metro East Dev']"
381,"['-619', 'Division III', 'Atlantic Coast', 'Northern Atlantic Coast DIII']"
382,"['-632', 'Division I', 'Atlantic Coast', 'Carolina DI']"
383,"['-651', 'Developmental', 'Atlantic Coast', 'Colonial Dev']"
384,"['-652', 'Developmental', 'Metro East', 'Metro East Dev']"
385,"['-736', 'Developmental', 'New England', 'Metro Boston Dev']"
386,"['-743', 'Developmental', 'Atlantic Coast', 'Virginia Dev']"
387,"['-770', 'Developmental', 'Ohio Valley', 'Ohio Valley Dev']"
389,"['-844', 'Division III', 'Atlantic Coast', 'Northern Atlantic Coast DIII']"
